0 GOBLIN_SPIDERPIT_VENOMSACK_SCIENCE_UPGRADE_BUILDTIME | TO | M_GOBLIN_SPIDERPIT_VENOMSACK_SCIENCE_UPGRADE_BUILDTIME
1 MORDOR_WALLCATAPULTEXPANSION_HEALTH_REALLY_DAMAGED | TO | M_MORDOR_WALLCATAPULTEXPANSION_HEALTH_REALLY_DAMAGED
2 ISENGARD_MINELAUNCHEREXPANSION_HEALTH_REALLY_DAMAGED | TO | M_ISENGARD_MINELAUNCHEREXPANSION_HEALTH_REALLY_DAMAGED
3 DWARVEN_WALLCATAPULT_SMALL_HEALTH_REALLY_DAMAGED | TO | M_DWARVEN_WALLCATAPULT_SMALL_HEALTH_REALLY_DAMAGED
4 DWARVEN_EREBORTOWEREXPANSION_HEALTH_REALLY_DAMAGED | TO | M_DWARVEN_EREBORTOWEREXPANSION_HEALTH_REALLY_DAMAGED
5 SUMMONED_DRAGON_FLAME_FUELINCREASE_MINMAXBURNRATE | TO | M_SUMMONED_DRAGON_FLAME_FUELINCREASE_MINMAXBURNRATE
6 ANGMAR_WITCHKING_DREADWRATH_EFFECT_RADIUS_MOUNTED | TO | M_ANGMAR_WITCHKING_DREADWRATH_EFFECT_RADIUS_MOUNTED
7 MORDOR_GATEWATCHEREXPANSION_HEALTH_REALLY_DAMAGED | TO | M_MORDOR_GATEWATCHEREXPANSION_HEALTH_REALLY_DAMAGED
8 ISENGARD_CASTLE_WALLSEGMENT_HEALTH_REALLY_DAMAGED | TO | M_ISENGARD_CASTLE_WALLSEGMENT_HEALTH_REALLY_DAMAGED
9 ISENGARD_MINELAUNCHEREXPANSION_FIRE_MAX_BURN_RATE | TO | M_ISENGARD_MINELAUNCHEREXPANSION_FIRE_MAX_BURN_RATE
10 GONDOR_STRUCTURE_ARCHER_BOW_DELAYBETWEENSHOTS_MAX | TO | M_GONDOR_STRUCTURE_ARCHER_BOW_DELAYBETWEENSHOTS_MAX
11 GONDOR_STRUCTURE_ARCHER_BOW_DELAYBETWEENSHOTS_MIN | TO | M_GONDOR_STRUCTURE_ARCHER_BOW_DELAYBETWEENSHOTS_MIN
12 CREATE_A_HERO_RAIN_OF_ARROWS_SHOTS_PER_TARGET_L3 | TO | M_CREATE_A_HERO_RAIN_OF_ARROWS_SHOTS_PER_TARGET_L3
13 CREATE_A_HERO_RAIN_OF_ARROWS_SHOTS_PER_TARGET_L2 | TO | M_CREATE_A_HERO_RAIN_OF_ARROWS_SHOTS_PER_TARGET_L2
14 CREATE_A_HERO_RAIN_OF_ARROWS_SHOTS_PER_TARGET_L1 | TO | M_CREATE_A_HERO_RAIN_OF_ARROWS_SHOTS_PER_TARGET_L1
15 ISENGARD_BALLISTAEXPANSION_HEALTH_REALLY_DAMAGED | TO | M_ISENGARD_BALLISTAEXPANSION_HEALTH_REALLY_DAMAGED
16 ELVEN_FLOODGATEEXPANSION_DECREASEBURNRATE_AMOUNT | TO | M_ELVEN_FLOODGATEEXPANSION_DECREASEBURNRATE_AMOUNT
17 ELVEN_FLOODGATEEXPANSION_DECREASEBURNRATE_RADIUS | TO | M_ELVEN_FLOODGATEEXPANSION_DECREASEBURNRATE_RADIUS
